,Image Name,ratio
0,1.pdf_Page 1.jpg_in_logo_bouygues_screenshot.JPG,0.0
1,1.pdf_Page 1.jpg_in_logo_bouygues_telecom.png,0.01
2,1.pdf_Page 1.jpg_in_logo_EDF.png,0.0
3,1.pdf_Page 1.jpg_in_logo_EDF_screenshot.PNG,0.02
4,1.pdf_Page 1.jpg_in_logo_enercorp.png,0.0
5,1.pdf_Page 1.jpg_in_logo_engie.png,0.0
6,1.pdf_Page 1.jpg_in_logo_engie_screenshot.JPG,0.52
7,1.pdf_Page 1.jpg_in_logo_free.png,0.0
8,1.pdf_Page 1.jpg_in_logo_free_screenshot.JPG,0.0
9,1.pdf_Page 1.jpg_in_logo_lcl.png,0.0
10,1.pdf_Page 1.jpg_in_logo_LCL_screenshot.JPG,0.04
11,1.pdf_Page 1.jpg_in_logo_orange.png,0.04
12,1.pdf_Page 1.jpg_in_logo_orange_screenshot.JPG,0.0
13,1.pdf_Page 1.jpg_in_logo_sfr.png,0.0
14,1.pdf_Page 1.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.29
15,1.pdf_Page 1.jpg_in_logo_societe_generale.png,0.0
16,13.pdf_Page 1.jpg_in_logo_bouygues_screenshot.JPG,0.0
17,13.pdf_Page 1.jpg_in_logo_bouygues_telecom.png,0.0
18,13.pdf_Page 1.jpg_in_logo_EDF.png,0.0
19,13.pdf_Page 1.jpg_in_logo_EDF_screenshot.PNG,0.15
20,13.pdf_Page 1.jpg_in_logo_enercorp.png,0.02
21,13.pdf_Page 1.jpg_in_logo_engie.png,0.0
22,13.pdf_Page 1.jpg_in_logo_engie_screenshot.JPG,0.0
23,13.pdf_Page 1.jpg_in_logo_free.png,0.0
24,13.pdf_Page 1.jpg_in_logo_free_screenshot.JPG,0.0
25,13.pdf_Page 1.jpg_in_logo_lcl.png,0.0
26,13.pdf_Page 1.jpg_in_logo_LCL_screenshot.JPG,0.04
27,13.pdf_Page 1.jpg_in_logo_orange.png,0.1
28,13.pdf_Page 1.jpg_in_logo_orange_screenshot.JPG,0.0
29,13.pdf_Page 1.jpg_in_logo_sfr.png,0.0
30,13.pdf_Page 1.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.29
31,13.pdf_Page 1.jpg_in_logo_societe_generale.png,0.0
32,14.pdf_Page 1.jpg_in_logo_bouygues_screenshot.JPG,0.0
33,14.pdf_Page 1.jpg_in_logo_bouygues_telecom.png,0.0
34,14.pdf_Page 1.jpg_in_logo_EDF.png,0.0
35,14.pdf_Page 1.jpg_in_logo_EDF_screenshot.PNG,0.0
36,14.pdf_Page 1.jpg_in_logo_enercorp.png,0.01
37,14.pdf_Page 1.jpg_in_logo_engie.png,0.0
38,14.pdf_Page 1.jpg_in_logo_engie_screenshot.JPG,0.0
39,14.pdf_Page 1.jpg_in_logo_free.png,0.0
40,14.pdf_Page 1.jpg_in_logo_free_screenshot.JPG,0.37
41,14.pdf_Page 1.jpg_in_logo_lcl.png,0.0
42,14.pdf_Page 1.jpg_in_logo_LCL_screenshot.JPG,0.0
43,14.pdf_Page 1.jpg_in_logo_orange.png,0.0
44,14.pdf_Page 1.jpg_in_logo_orange_screenshot.JPG,0.0
45,14.pdf_Page 1.jpg_in_logo_sfr.png,0.0
46,14.pdf_Page 1.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
47,14.pdf_Page 1.jpg_in_logo_societe_generale.png,0.0
48,14.pdf_Page 2.jpg_in_logo_bouygues_screenshot.JPG,0.0
49,14.pdf_Page 2.jpg_in_logo_bouygues_telecom.png,0.0
50,14.pdf_Page 2.jpg_in_logo_EDF.png,0.0
51,14.pdf_Page 2.jpg_in_logo_EDF_screenshot.PNG,0.0
52,14.pdf_Page 2.jpg_in_logo_enercorp.png,0.01
53,14.pdf_Page 2.jpg_in_logo_engie.png,0.0
54,14.pdf_Page 2.jpg_in_logo_engie_screenshot.JPG,0.0
55,14.pdf_Page 2.jpg_in_logo_free.png,0.0
56,14.pdf_Page 2.jpg_in_logo_free_screenshot.JPG,0.37
57,14.pdf_Page 2.jpg_in_logo_lcl.png,0.0
58,14.pdf_Page 2.jpg_in_logo_LCL_screenshot.JPG,0.0
59,14.pdf_Page 2.jpg_in_logo_orange.png,0.0
60,14.pdf_Page 2.jpg_in_logo_orange_screenshot.JPG,0.0
61,14.pdf_Page 2.jpg_in_logo_sfr.png,0.0
62,14.pdf_Page 2.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
63,14.pdf_Page 2.jpg_in_logo_societe_generale.png,0.0
64,14.pdf_Page 3.jpg_in_logo_bouygues_screenshot.JPG,0.0
65,14.pdf_Page 3.jpg_in_logo_bouygues_telecom.png,0.0
